Name,Industry,Sector,Headquarters,Founded,Notes,Private/State,Active/Defunct
63 Moons Technologies,Technology,Software,Mumbai,1988,Financial technology,P,A
Aban Offshore,Energy,Oil & gas offshore drilling & other services,Chennai,1986,"Oil, petrochemical",P,A
ABG Shipyard,Industrials,Shipbuilding,Ahmedabad,1985,Ship engineering,P,A
ABP Group,Consumer services,Broadcasting & entertainment,Kolkata,1922,"Media, news",P,A
ACC,Industrials,Cement,Mumbai,1936,Cement,P,A
ACG Group,Industrials,Machinery: specialty,Mumbai,1961,Pharmaceutical industry machinery & medicinal materials manufacturer,P,A
Acko General Insurance,Insurance,Full line insurance,Mumbai,2016,Insurance,P,A
Action Construction Equipment,Industrials,Machinery: construction & handling,Faridabad,1995,"Bulldozers, cranes",P,A
Action Group,Conglomerate,,New Delhi,1972,"Apparel, chemicals, retail, steel",P,A
Adani Group,Conglomerate,,Ahmedabad,1988,Conglomerate,P,A
Adani Power,Utilities,Alternative electricity,Mumbai,1910,"Thermal & solar power generation, part ofAdani Group",P,A
Aditya Birla Fashion and Retail,Retail,Apparel retailers,Mumbai,1997,Clothing retailer,P,A
Aditya Birla Group,Conglomerate,,Mumbai,1857,"Agribusiness, cement, chemicals",P,A
Ador Group,Conglomerate,,Mumbai,1977,"Electronics, energy, chemicals",P,A
Advanced Weapons and Equipment India,Industrials,Defense,Kanpur,2021,Weapons,S,A
Afcons Infrastructure,Industrials,Construction,Mumbai,1959,Constructions,P,A
Agriculture Insurance Company of India,Insurance,Full line insurance,New Delhi,2002,Insurance,S,A
Air Costa,Consumer services,Airlines,Vijayawada,2013,Defunct 2017,P,D
Air India,Consumer services,Airlines,New Delhi,1932,"Airline, part ofTata Sons",P,A
Air India Express,Consumer services,Airlines,Kochi,2005,"Low-cost airline, part ofAir India",P,A
Ajanta Group,Conglomerate,,Ahmedabad,1971,"Textile, transport, construction machinery",P,A
Alkem Laboratories,Health care,Pharmaceuticals,Mumbai,1973,Pharma,P,A
Allcargo Logistics,Industrials,Transportation services,Mumbai,1993,Logistics & transportation,P,A
Amartex,Retail,Apparel retailers,Gurugram,1984,Clothing retail,P,A
Ambuja Cements,Industrials,Cement,Mumbai,1983,Cement,P,A
Amrutanjan Healthcare,Health care,Ayurvedic producers,Chennai,1893,Alternative medicines,P,A
Amul,Consumer goods,Food products,Anand,1946,Dairy,P,A
Angel One,Financials,Investment services,Mumbai,1996,Stock broker,P,A
Apollo Hospitals,Health care,Health care providers,Chennai,1983,Hospital chain,P,A
Apollo Tyres,Consumer goods,Tires,Gurugram,1972,"Tyres, parts",P,A
Aptech,Industrials,Business training & employment agencies,Mumbai,1986,Training,P,A
Archies,Retail,Specialty retailers,New Delhi,1979,Greeting cards,P,A
Arise India,Consumer goods,Consumer electronics,Delhi,1995,"Electrical goods, home appliances",P,A
Armoured Vehicles Nigam,Industrials,Defense,Chennai,2021,Armoured military vehicles,S,A
Artemis Hospital,Health care,Health care providers,Gurugram,2007,Hospitals,P,A
Arvind,Conglomerate,,Ahmedabad,1931,"Clothing, engineering, real estate",P,A
Ashok Leyland,Industrials,Commercial vehicles & parts,Chennai,1948,"Bus, trucks, defense vehicles, joint venture ofHinduja Group&Nissan(Japan)",P,A
Asia MotorWorks,Industrials,Commercial vehicles & parts,Mumbai,2002,Trucks,P,A
Asian Paints,Industrials,Paints and coatings,Mumbai,1942,Paints,P,A
Atul,Chemicals,Chemicals: diversified,Ahmedabad,1947,Integrated chemicals,P,A
Atul Auto,Consumer goods,Automobiles,Rajkot,1970,Auto-rickshaws,P,A
Avantha Group,Conglomerate,,New Delhi,1919,"Chemicals, I/T, BPO",P,A
Axis Bank,Financials,Banks,Ahmedabad,1993,,P,A
Bajaj Auto,Consumer goods,Automobiles,Pune,1945,"Motorcycles, part ofBajaj Group",P,A
Bajaj Group,Conglomerate,,Pune,1945,"Motorcycles, financial services, electricals, sugar, iron & steel, insurance, consumer goods",P,A
Balaji Telefilms,Consumer services,Broadcasting & entertainment,Mumbai,1994,Film production,P,A
Balaji Wafers,Consumer goods,Food products,Mumbai,1975,Potato chips,P,A
Ballarpur Industries,Basic materials,Paper,Gurugram,1945,Paper,P,A
Bank of Baroda,Financials,Banks,Vadodara,1908,State-owned bank,S,A
Bank of India,Financials,Banks,Mumbai,1906,Government-owned bank,S,A
Bank of Maharashtra,Financials,Banks,Pune,1935,Government-owned bank,S,A
Bellatrix Aerospace,Industrials,"Aerospace, space industry",Bengaluru,2015,Launch vehicles & satellites,P,A
